Date,Price
04/26/2023,"60,311.75"
04/25/2023,"60,152.95"
04/24/2023,"60,089.45"
04/21/2023,"59,721.30"
04/20/2023,"59,709.60"
04/19/2023,"59,655.95"
04/18/2023,"59,826.50"
04/17/2023,"60,021.65"
04/13/2023,"60,587.65"
04/12/2023,"60,560.55"
04/11/2023,"60,336.00"
04/10/2023,"60,034.95"
04/06/2023,"60,065.80"
04/05/2023,"59,932.60"
04/03/2023,"59,369.35"
03/31/2023,"59,286.80"
03/29/2023,"57,960.09"
03/28/2023,"57,624.40"
03/27/2023,"57,675.20"
03/24/2023,"57,580.35"
03/23/2023,"57,989.60"
03/22/2023,"58,290.05"
03/21/2023,"58,160.65"
03/20/2023,"57,724.90"
03/17/2023,"58,118.70"
03/16/2023,"57,773.55"
03/15/2023,"57,705.10"
03/14/2023,"58,061.05"
03/13/2023,"58,410.45"
03/10/2023,"59,343.30"
03/09/2023,"60,027.90"
03/08/2023,"60,582.95"
03/06/2023,"60,481.15"
03/03/2023,"60,097.20"
03/02/2023,"59,204.20"
03/01/2023,"59,719.50"
02/28/2023,"59,279.20"
02/27/2023,"59,618.20"
02/24/2023,"59,827.95"
02/23/2023,"59,605.80"
02/22/2023,"59,756.05"
02/21/2023,"60,695.15"
02/20/2023,"60,725.25"
02/17/2023,"61,070.30"
02/16/2023,"61,398.95"
02/15/2023,"61,365.80"
02/14/2023,"61,133.90"
02/13/2023,"60,543.70"
02/10/2023,"60,828.75"
02/09/2023,"60,963.85"
02/08/2023,"60,832.30"
02/07/2023,"60,458.05"
02/06/2023,"60,690.35"
02/03/2023,"61,059.00"
02/02/2023,"60,156.80"
02/01/2023,"59,942.50"
01/31/2023,"59,794.30"
01/30/2023,"59,755.25"
01/27/2023,"59,616.85"
01/25/2023,"60,205.06"
01/24/2023,"60,989.60"
01/23/2023,"60,963.35"
01/20/2023,"60,675.75"
01/19/2023,"60,923.45"
01/18/2023,"61,121.90"
01/17/2023,"60,742.20"
01/16/2023,"60,189.40"
01/13/2023,"60,390.10"
01/12/2023,"60,097.00"
01/11/2023,"60,255.55"
01/10/2023,"60,276.25"
01/09/2023,"60,920.65"
01/06/2023,"60,103.40"
01/05/2023,"60,568.65"
01/04/2023,"60,884.75"
01/03/2023,"61,534.80"
01/02/2023,"61,418.85"
12/30/2022,"61,123.10"
12/29/2022,"61,133.88"
12/28/2022,"60,921.10"
12/27/2022,"60,949.10"
12/26/2022,"60,598.75"
12/23/2022,"59,909.25"
12/22/2022,"60,902.10"
12/21/2022,"61,154.30"
12/20/2022,"61,801.30"
12/19/2022,"61,916.35"
12/16/2022,"61,479.95"
12/15/2022,"61,953.30"
12/14/2022,"62,845.55"
12/13/2022,"62,711.70"
12/12/2022,"62,318.90"
12/09/2022,"62,403.55"
12/08/2022,"62,805.15"
12/07/2022,"62,655.70"
12/06/2022,"62,869.50"
12/05/2022,"63,089.20"
12/02/2022,"63,155.15"
12/01/2022,"63,583.45"
11/30/2022,"63,408.70"
11/29/2022,"62,999.50"
11/28/2022,"62,832.10"
11/25/2022,"62,651.55"
11/24/2022,"62,272.68"
11/23/2022,"61,520.90"
11/22/2022,"61,439.65"
11/21/2022,"61,175.75"
11/18/2022,"61,725.85"
11/17/2022,"61,823.45"
11/16/2022,"62,064.35"
11/15/2022,"61,966.85"
11/14/2022,"61,728.05"
11/11/2022,"61,930.50"
11/10/2022,"60,756.85"
11/09/2022,"61,188.00"
11/07/2022,"61,360.65"
11/04/2022,"61,156.10"
11/03/2022,"61,052.05"
11/02/2022,"61,132.30"
11/01/2022,"61,358.65"
10/31/2022,"60,992.75"
10/28/2022,"60,233.25"
10/27/2022,"59,756.84"
10/25/2022,"59,564.05"
10/24/2022,"59,861.90"
10/21/2022,"59,367.15"
10/20/2022,"59,272.75"
10/19/2022,"59,186.90"
10/18/2022,"59,050.05"
10/17/2022,"58,509.50"
10/14/2022,"58,046.95"
10/13/2022,"57,370.50"
10/12/2022,"57,771.70"
10/11/2022,"57,301.60"
10/10/2022,"58,157.45"
10/07/2022,"58,387.75"
10/06/2022,"58,428.45"
10/04/2022,"58,290.90"
10/03/2022,"57,018.95"
09/30/2022,"57,688.75"
09/29/2022,"56,409.96"
09/28/2022,"56,607.05"
09/27/2022,"57,125.25"
09/26/2022,"57,171.75"
09/23/2022,"58,152.90"
09/22/2022,"59,183.85"
09/21/2022,"59,530.45"
09/20/2022,"59,803.00"
09/19/2022,"59,232.85"
09/16/2022,"58,959.30"
09/15/2022,"60,064.05"
09/14/2022,"60,487.25"
